value,ci,ds_complete,technique,dsn
0.0209848373441609,"(0.0, 0.0725584635012422)",ds5_TVAE_QI0_ep100_bs50.csv,TVAE,ds5
0.0,"(0.0, 0.0)",ds5_TVAE_QI2_ep100_bs50.csv,TVAE,ds5
0.0276364130096971,"(0.0, 0.10717585688549836)",ds2_TVAE_QI1_ep200_bs100.csv,TVAE,ds2
0.0163949644478912,"(0.0, 0.038542286558388233)",ds32_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds32
0.0078924753564547,"(0.0, 0.022793183824408605)",ds33_CopulaGAN_QI0_ep200_bs50.csv,Copula GAN,ds33
0.0,"(0.0, 0.003582440977047444)",ds68_CTGAN_QI0_ep100_bs50.csv,CTGAN,ds68
0.0,"(0.0, 0.07181603249579338)",ds2_CopulaGAN_QI2_ep100_bs50.csv,Copula GAN,ds2
0.0,"(0.0, 0.012304156391090823)",ds33_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds33
0.0184735208625111,"(0.0, 0.05523808958146917)",ds16_CopulaGAN_QI1_ep200_bs100.csv,Copula GAN,ds16
0.0131856442533417,"(0.0, 0.026578327957267896)",ds37_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds37
0.0162427930113452,"(0.0, 0.0364497031618715)",ds32_TVAE_QI0_ep200_bs100.csv,TVAE,ds32
0.0,"(0.0, 0.0032690502061361484)",ds8_CopulaGAN_QI1_ep100_bs100.csv,Copula GAN,ds8
0.0090719254804583,"(0.0, 0.05777018986504131)",ds24_CopulaGAN_QI2_ep200_bs50.csv,Copula GAN,ds24
0.0,"(0.0, 0.0)",ds4_CTGAN_QI1_ep200_bs50.csv,CTGAN,ds4
0.0011891727305868,"(0.0, 0.02706798110852443)",ds33_CopulaGAN_QI2_ep200_bs100.csv,Copula GAN,ds33
0.0,"(0.0, 0.0032690502061361484)",ds8_CopulaGAN_QI1_ep200_bs50.csv,Copula GAN,ds8
0.0459118158250623,"(0.032684825194838896, 0.05913880645528584)",ds37_CopulaGAN_QI2_ep200_bs100.csv,Copula GAN,ds37
0.0,"(0.0, 0.005329926792061774)",ds50_CTGAN_QI2_ep100_bs100.csv,CTGAN,ds50
0.0391776627567464,"(0.0, 0.09162121147954934)",ds24_TVAE_QI1_ep200_bs50.csv,TVAE,ds24
0.0,"(0.0, 0.002476244069064659)",ds50_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds50
0.0,"(0.0, 0.04127663247460109)",ds24_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds24
0.0,"(0.0, 0.03544230828286377)",ds4_CTGAN_QI2_ep100_bs100.csv,CTGAN,ds4
0.0,"(0.0, 0.05121012949536526)",ds59_CopulaGAN_QI2_ep200_bs100.csv,Copula GAN,ds59
0.024608398973715,"(0.007548642323092047, 0.0416681556243381)",ds55_TVAE_QI0_ep200_bs100.csv,TVAE,ds55
0.0300118953031864,"(0.0, 0.08975313778647563)",ds59_CopulaGAN_QI2_ep200_bs50.csv,Copula GAN,ds59
0.0,"(0.0, 0.041037075839410055)",ds2_TVAE_QI2_ep200_bs100.csv,TVAE,ds2
0.0,"(0.0, 0.0037292004490575414)",ds68_CopulaGAN_QI1_ep200_bs100.csv,Copula GAN,ds68
0.0,"(0.0, 0.0032690502061361484)",ds8_TVAE_QI0_ep200_bs50.csv,TVAE,ds8
0.0,"(0.0, 0.011181753613954579)",ds38_CTGAN_QI2_ep100_bs100.csv,CTGAN,ds38
0.0,"(0.0, 0.006928755878004634)",ds38_CopulaGAN_QI2_ep100_bs50.csv,Copula GAN,ds38
0.0301083167358565,"(0.0, 0.07023336302788578)",ds5_CTGAN_QI1_ep100_bs100.csv,CTGAN,ds5
0.0481487528343755,"(0.0, 0.12037089851700367)",ds2_TVAE_QI0_ep200_bs50.csv,TVAE,ds2
0.0,"(0.0, 0.0045429459929252755)",ds56_TVAE_QI0_ep200_bs100.csv,TVAE,ds56
0.0028903389587236,"(0.0, 0.01318239354604582)",ds38_CTGAN_QI1_ep200_bs100.csv,CTGAN,ds38
0.0319283562746198,"(0.0, 0.10904820852355801)",ds59_TVAE_QI0_ep100_bs100.csv,TVAE,ds59
0.0,"(0.0, 0.013426112484828976)",ds4_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds4
0.0,"(0.0, 0.005382278990105286)",ds50_CopulaGAN_QI0_ep100_bs100.csv,Copula GAN,ds50
0.0004574731309079,"(0.0, 0.005426748942291702)",ds68_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds68
0.0,"(0.0, 0.008143114569560277)",ds33_CopulaGAN_QI1_ep200_bs100.csv,Copula GAN,ds33
0.0289534082993377,"(0.0, 0.06606397243468269)",ds14_TVAE_QI0_ep100_bs50.csv,TVAE,ds14
0.0164557668342598,"(0.0, 0.05246421266834639)",ds56_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds56
0.0,"(0.0, 0.002711114264858369)",ds37_CTGAN_QI1_ep100_bs100.csv,CTGAN,ds37
0.0,"(0.0, 0.03265249973233669)",ds14_TVAE_QI0_ep100_bs100.csv,TVAE,ds14
0.0,"(0.0, 0.0045429459929252755)",ds56_CopulaGAN_QI1_ep200_bs50.csv,Copula GAN,ds56
0.0010142395534317,"(0.0, 0.00785311079981877)",ds50_CTGAN_QI2_ep100_bs50.csv,CTGAN,ds50
0.0242527980049528,"(0.002695590210240753, 0.04581000579966491)",ds51_TVAE_QI0_ep200_bs100.csv,TVAE,ds51
0.0004593644529586,"(0.0, 0.006722779113307967)",ds68_TVAE_QI0_ep100_bs100.csv,TVAE,ds68
0.0,"(0.0, 0.03483649797146961)",ds10_CopulaGAN_QI1_ep100_bs50.csv,Copula GAN,ds10
0.0,"(0.0, 0.032636292268136996)",ds16_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds16
0.0,"(0.0, 0.029260766329331965)",ds10_CopulaGAN_QI2_ep100_bs100.csv,Copula GAN,ds10
0.0,"(0.0, 0.04411335051487622)",ds59_CopulaGAN_QI1_ep100_bs100.csv,Copula GAN,ds59
0.0,"(0.0, 0.0025434747449000136)",ds38_CTGAN_QI2_ep200_bs100.csv,CTGAN,ds38
0.0616549941272592,"(0.0, 0.1534172321828388)",ds32_CopulaGAN_QI2_ep200_bs100.csv,Copula GAN,ds32
0.0,"(0.0, 0.030232917833967626)",ds4_TVAE_QI0_ep100_bs100.csv,TVAE,ds4
0.0033565975821126,"(0.0, 0.04118662578701612)",ds5_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds5
0.0285773125725151,"(0.0, 0.06207043218852047)",ds16_CTGAN_QI2_ep200_bs50.csv,CTGAN,ds16
0.0,"(0.0, 0.005021216384700554)",ds68_TVAE_QI2_ep100_bs100.csv,TVAE,ds68
0.0,"(0.0, 0.004646474794157857)",ds55_CTGAN_QI1_ep100_bs50.csv,CTGAN,ds55
0.0054371250223181,"(0.0, 0.07919782212587181)",ds2_CTGAN_QI1_ep200_bs50.csv,CTGAN,ds2
0.0555800325664137,"(0.0, 0.13784078407574266)",ds2_CTGAN_QI2_ep200_bs50.csv,CTGAN,ds2
0.0,"(0.0, 0.009770135323100913)",ds16_CopulaGAN_QI1_ep200_bs50.csv,Copula GAN,ds16
0.0,"(0.0, 0.01008169561517697)",ds38_CTGAN_QI0_ep100_bs50.csv,CTGAN,ds38
0.0081498782577445,"(0.0, 0.02117381668397281)",ds51_CopulaGAN_QI2_ep100_bs100.csv,Copula GAN,ds51
0.0,"(0.0, 0.01977507837148289)",ds37_CopulaGAN_QI2_ep100_bs50.csv,Copula GAN,ds37
0.0,"(0.0, 0.05339031727611643)",ds24_TVAE_QI0_ep200_bs50.csv,TVAE,ds24
0.0236891522449127,"(0.0, 0.0602735287980212)",ds14_TVAE_QI2_ep200_bs100.csv,TVAE,ds14
0.0,"(0.0, 0.0032690502061361484)",ds8_TVAE_QI1_ep200_bs50.csv,TVAE,ds8
0.0034525589026237,"(0.0, 0.0230369918621527)",ds33_TVAE_QI0_ep200_bs50.csv,TVAE,ds33
0.0161319787821897,"(0.0, 0.0678456215500579)",ds24_CTGAN_QI1_ep200_bs100.csv,CTGAN,ds24
0.0,"(0.0, 0.0030676074859263764)",ds68_CopulaGAN_QI0_ep200_bs50.csv,Copula GAN,ds68
0.0266013529386516,"(0.0, 0.06619311222776325)",ds4_CTGAN_QI0_ep100_bs100.csv,CTGAN,ds4
0.0417841050930779,"(0.005447960407305108, 0.07812024977885078)",ds16_CTGAN_QI2_ep200_bs100.csv,CTGAN,ds16
0.0,"(0.0, 0.03379897277545917)",ds24_TVAE_QI0_ep100_bs100.csv,TVAE,ds24
0.0375656757118882,"(0.0, 0.09288500201497756)",ds24_TVAE_QI1_ep100_bs50.csv,TVAE,ds24
0.0299153744335366,"(0.012845517790587326, 0.04698523107648606)",ds55_TVAE_QI0_ep200_bs50.csv,TVAE,ds55
0.0124445548497747,"(0.0, 0.028832879329015317)",ds33_TVAE_QI1_ep200_bs50.csv,TVAE,ds33
0.0,"(0.0, 0.03265249973233669)",ds16_CTGAN_QI2_ep100_bs50.csv,CTGAN,ds16
0.0,"(0.0, 0.0045429459929252755)",ds56_TVAE_QI1_ep200_bs50.csv,TVAE,ds56
0.0056758796030907,"(0.0, 0.019033423243022013)",ds32_TVAE_QI1_ep100_bs50.csv,TVAE,ds32
0.0,"(0.0, 0.00197953852800038)",ds55_TVAE_QI1_ep200_bs100.csv,TVAE,ds55
0.0750212392066728,"(0.02940951876765638, 0.12063295964568937)",ds10_TVAE_QI2_ep100_bs100.csv,TVAE,ds10
0.0067504990916313,"(0.0, 0.020484874011329028)",ds51_TVAE_QI2_ep100_bs50.csv,TVAE,ds51
0.0,"(0.0, 0.005393010525055449)",ds38_CopulaGAN_QI1_ep200_bs100.csv,Copula GAN,ds38
0.1046704588116027,"(0.013551157242086304, 0.19578976038111917)",ds32_CopulaGAN_QI2_ep200_bs50.csv,Copula GAN,ds32
0.0,"(0.0, 0.006544774440140674)",ds68_CTGAN_QI1_ep200_bs100.csv,CTGAN,ds68
0.0450178429547796,"(0.0, 0.10621839928381069)",ds59_CTGAN_QI2_ep200_bs50.csv,CTGAN,ds59
0.0447408411859008,"(0.028767063231589653, 0.06071461914021208)",ds55_TVAE_QI0_ep100_bs100.csv,TVAE,ds55
0.0018442352206608,"(0.0, 0.009230506006531957)",ds68_TVAE_QI0_ep100_bs50.csv,TVAE,ds68
0.0,"(0.0, 0.0032690502061361484)",ds8_TVAE_QI1_ep100_bs50.csv,TVAE,ds8
0.0,"(0.0, 0.010107692431535314)",ds32_CTGAN_QI0_ep100_bs100.csv,CTGAN,ds32
0.0233688141581257,"(0.0, 0.07758363558778028)",ds24_CopulaGAN_QI1_ep100_bs50.csv,Copula GAN,ds24
0.0439156499196248,"(0.03095406747745086, 0.056877232361798896)",ds37_TVAE_QI2_ep200_bs50.csv,TVAE,ds37
0.0395569327600251,"(0.023122401993330037, 0.055991463526720166)",ds37_TVAE_QI2_ep100_bs50.csv,TVAE,ds37
0.0160033829269361,"(0.0, 0.0553139173998526)",ds4_CopulaGAN_QI1_ep100_bs50.csv,Copula GAN,ds4
0.0,"(0.0, 0.002711114264858369)",ds37_CopulaGAN_QI1_ep100_bs50.csv,Copula GAN,ds37
0.0436617048861654,"(0.027770478155430805, 0.05955293161690002)",ds55_CTGAN_QI0_ep200_bs100.csv,CTGAN,ds55
0.037477683555209,"(0.0, 0.09243190596380763)",ds24_CopulaGAN_QI2_ep200_bs100.csv,Copula GAN,ds24
0.0291066330686935,"(0.0, 0.06759245874839427)",ds16_TVAE_QI1_ep100_bs100.csv,TVAE,ds16
0.0,"(0.0, 0.0)",ds5_CopulaGAN_QI2_ep200_bs100.csv,Copula GAN,ds5
0.0821413318642795,"(0.0, 0.17767819926881245)",ds32_CopulaGAN_QI2_ep100_bs50.csv,Copula GAN,ds32
0.0487096725867135,"(0.02990625949001386, 0.06751308568341333)",ds51_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds51
0.0620645244701958,"(0.04223503418001341, 0.08189401476037828)",ds51_CTGAN_QI0_ep100_bs50.csv,CTGAN,ds51
0.0,"(0.0, 0.03101750932455192)",ds59_CopulaGAN_QI2_ep100_bs100.csv,Copula GAN,ds59
0.0,"(0.0, 0.0)",ds37_CTGAN_QI2_ep100_bs100.csv,CTGAN,ds37
0.0,"(0.0, 0.02274451241411357)",ds59_TVAE_QI0_ep200_bs100.csv,TVAE,ds59
0.0,"(0.0, 0.0045429459929252755)",ds56_CopulaGAN_QI1_ep200_bs100.csv,Copula GAN,ds56
0.0065590817779676,"(0.0, 0.03611741396800832)",ds5_CTGAN_QI0_ep100_bs50.csv,CTGAN,ds5
0.0,"(0.0, 0.036963604718082334)",ds2_CTGAN_QI1_ep200_bs100.csv,CTGAN,ds2
0.0,"(0.0, 0.0)",ds10_CTGAN_QI2_ep200_bs100.csv,CTGAN,ds10
0.0,"(0.0, 0.04523135700139006)",ds2_CTGAN_QI0_ep100_bs100.csv,CTGAN,ds2
0.0,"(0.0, 0.002711114264858369)",ds37_CTGAN_QI1_ep200_bs100.csv,CTGAN,ds37
0.0,"(0.0, 0.017902950189750577)",ds14_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds14
0.0264091878422156,"(0.010314559655445966, 0.04250381602898538)",ds55_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds55
0.0025840454905716,"(0.0, 0.00656773086343346)",ds55_CopulaGAN_QI2_ep100_bs50.csv,Copula GAN,ds55
0.0009183070682932,"(0.0, 0.007113861816143614)",ds68_CTGAN_QI0_ep200_bs100.csv,CTGAN,ds68
0.0,"(0.0, 0.035587157477886544)",ds16_CopulaGAN_QI2_ep100_bs100.csv,Copula GAN,ds16
0.0,"(0.0, 0.01454204584468412)",ds33_CopulaGAN_QI0_ep100_bs100.csv,Copula GAN,ds33
0.0089493393953141,"(0.0, 0.02156189592789117)",ds33_TVAE_QI2_ep100_bs50.csv,TVAE,ds33
0.0,"(0.0, 0.005110494379299991)",ds50_CTGAN_QI2_ep200_bs100.csv,CTGAN,ds50
